"Code","Title","Definition","Parent Codes","Ecf Case Types","Taxonomies"
"BE-01-00-00-00","Disability public benefits","This category is about benefits for people with a disability, including workers with health or disability issues, Social Security disability benefits, Social Security disability insurance, and Supplemental Security Income.","BE-00-00-00-00, HE-01-10-00-00",,"NSMI v1 Taxonomy [1840500], NSMI v1 Taxonomy [1840599]"
"BE-03-00-00-00","Health public benefits and medical assistance programs","This category covers programs to help pay for medical and health costs, including Medicaid, Medicare, state and local medical assistance programs, assistance programs for military and veterans, and children’s health insurance programs.","BE-00-00-00-00, MO-02-00-00-00",,
"BE-04-00-00-00","Unemployment Benefits, Compensation, and Insurance","This category concerns financial compensation and insurance coverage for people who are unemployed. This includes how to apply for these benefits, who is eligible, what issues might arise, hearings about misconduct or disqualification, dealing with overpayments or recoupment, and terminating the benefit.","BE-00-00-00-00, WO-00-00-00-00, WO-03-00-00-00",,"NSMI v1 Taxonomy [1760000], NSMI v1 Taxonomy [1760099], Legal Server Index Taxonomy [LS002-00076], Legal Services Corporation Taxonomy [76]"
"BE-00-00-00-00","Public Benefits","This category covers public benefits and social services that people can get from the government, like for food, disability, old age, housing, medical help, unemployment, child care, or other social needs.",,"CivilCase",
"BE-02-00-00-00","Food and Cash benefits","This category is about financial assistance to cover costs for food, school breakfasts, and other general living costs, including through programs like food stamps, SNAP, Temporary Assistance for Needy Families, school and breakfast lunch programs, WIC, and others. This might also be termed Income Maintenance.","BE-00-00-00-00",,"Legal Server Index Taxonomy [LS002-00079], NSMI v1 Taxonomy [1730000], NSMI v1 Taxonomy [1790000], NSMI v1 Taxonomy [1790100], Legal Services Corporation Taxonomy [79]"
"BE-05-00-00-00","Utilities, Energy, and Heating benefits at home","This category covers public financial assistance to help people cover costs of home utilities, Including paying for electricity, heating, and other energy sources.","BE-00-00-00-00, HO-07-00-00-00, HO-03-00-00-00",,"NSMI v1 Taxonomy [1070400]"
"FA-15-00-00-00","Elder Abuse","This category is about financial or physical abuse of elders, potentially by another family member. It could also cover evictions and rental house issues for the elderly, or scams directed at the elderly. This abuse could involve physical, sexual emotional, financial, or verbal behavior. It could also involve withholding access to food, money, or necessities, or exerting control over where a person goes, sees, and does.","FA-00-00-00-00, FA-07-00-00-00, ES-03-02-01-00",,"NSMI v1 Taxonomy [1330600]"
"HO-02-00-00-00","Eviction from a home","This category is about landlords removing a tenant from a home property through a lawsuit or force, ways to counter an eviction, or being removed from a shelter, subsidized housing, a group home. It includes evictions from private rentals, subsidized homes, public housing, and housing with rent control.","HO-00-00-00-00, HO-06-00-00-00",,
"FA-05-00-00-00","Child Support","This category concerns issues around creating child support orders, modifying and enforcing them, paying for other children's' expenses, and claiming children's expenses on taxes.","FA-00-00-00-00, MO-00-00-00-00",,"NSMI v1 Taxonomy [1380100], NSMI v1 Taxonomy [1380199], Legal Server Index Taxonomy [LS002-00038], Legal Services Corporation Taxonomy [38]"
"FA-01-00-00-00","Adoption","This category is about adopting a child or adult, challenging an adoption, and other family members' rights around an adoption.","FA-00-00-00-00",,"NSMI v1 Taxonomy [1300100], NSMI v1 Taxonomy [1300199], Legal Server Index Taxonomy [LS002-00030], Legal Services Corporation Taxonomy [30]"
"FA-09-00-00-00","Foster Care","About getting foster care for children, and family members' rights in a foster care situation.","FA-00-00-00-00",,"NSMI v1 Taxonomy [1490200]"
"MO-06-00-00-00","Identity Theft and Lost Credit Cards","This category covers the problems related to having one's identity stolen, or losing sensitive financial information, including the loss of credit cards or government documents. ","MO-00-00-00-00, FA-02-00-00-00",,"NSMI v1 Taxonomy [1090400], NSMI v1 Taxonomy [1090499]"
"ES-02-00-00-00","Dealing with another person's estate after they die","This category covers the options and responsibilities of people who must deal with another's death, and how property is divided up, wills are carried through, or other decisions are made about the person's property and responsibilities. This includes possibly contesting a will or division of property, and what happens when a person dies without a will.","ES-00-00-00-00",,
"CR-02-00-00-00","After being found guilty of a crime","This category covers situations in which a person has been found guilty of a crime in US courts, and what issues, rights, and obligations they have.","CR-00-00-00-00",,
"FA-13-00-00-00","Mediation and Alternative Dispute Resolution for family","This category covers options and processes for alternative dispute resolution to deal with family issues.","FA-00-00-00-00, CO-07-01-00-00",,"NSMI v1 Taxonomy [2023900]"
"FA-12-00-00-00","Paternity","This category is about establishing paternity of a child, or responding to a paternity case filed against one.","FA-00-00-00-00",,"Legal Server Index Taxonomy [LS002-00036], NSMI v1 Taxonomy [1360100], NSMI v1 Taxonomy [1360199], Legal Services Corporation Taxonomy [36]"
"MO-04-00-00-00","Credit practices and Credit reports","This category is about the problems a person might have with the information on their credit report, as well as opportunities to clean, mask, expunge, and otherwise remove damaging credit information.","MO-00-00-00-00",,"NSMI v1 Taxonomy [1040200], NSMI v1 Taxonomy [1040299], NSMI v1 Taxonomy [1090301]"
"MO-03-00-00-00","Contracts, Warranties, and Deceptive Trade Practices","This category concerns issues that consumers and businesses have, including around forming a contract, possible fraud or misrepresentation, payment plans and loans, poor performance, or other problems with the contracting.","MO-00-00-00-00",,"Legal Server Index Taxonomy [LS002-00003], NSMI v1 Taxonomy [1030100], NSMI v1 Taxonomy [1030399], Legal Services Corporation Taxonomy [03]"
"WO-08-00-00-00","Discrimination around work and employment","This category is about possible discrimination around employment, based on disability, ethnicity, gender, marital status, race, religion, sexual harassment, sexual orientation, or age. It also includes what remedies an employee might be eligible to receive, if they have been discriminated against.","WO-00-00-00-00, RI-00-00-00-00, RI-08-00-00-00",,"NSMI v1 Taxonomy [1210500], NSMI v1 Taxonomy [1210599], Legal Server Index Taxonomy [LS002-00021], Legal Services Corporation Taxonomy [21]"
"WO-10-00-00-00","Veterans and Military members' Civilian Work","This category is about rights and remedies when a person returns to civilian work after serving in the military, including dealing with problems with pay, promotions, and seniority that can be addressed through USSERA.","WO-00-00-00-00, VE-00-00-00-00",,"NSMI v1 Taxonomy [1770810]"
"TR-05-00-00-00","Car insurance","This category concerns issues with having insurance for a car one is using, including purchasing it, making claims, getting temporary insurance for a rental, and dealing with the insurance company.","TR-00-00-00-00, MO-07-00-00-00, TR-04-00-00-00",,"NSMI v1 Taxonomy [1030804]"
"MO-07-00-00-00","Insurance","This category covers consumers' options and rights when getting insurance to protect themselves against accidents, illness, financial demands, and catastrophes. This includes insurance for health, cars, natural disasters, death, homes, and disability.","MO-00-00-00-00",,"NSMI v1 Taxonomy [1030800], NSMI v1 Taxonomy [1030899]"
"WO-09-00-00-00","Employment in prison","This category is about opportunities to work while in a prison. It also concerns rights, payments, and other concerns of people who are employed while in prison. This could be about work programs and work release programs.","WO-00-00-00-00, CR-15-00-00-00",,"NSMI v1 Taxonomy [1831100]"
"TR-01-00-00-00","Car injuries to people or property","This category is about what options or rights a person has if they have been injured by a car, or if they might have injured another person or property with their car. It could be based on the manufacturer's car vehicle defect or recall, or it could be around another person's driving. It covers what options this person might have, including filing a lawsuit to recover damages for the injury.","TO-01-00-00-00, TR-00-00-00-00",,
"TR-02-00-00-00","Dealing with traffic and parking tickets","This category covers issues a person might have when driving a car, including problems with driving, driving under the influence, or problems with one's license or insurance. This covers responding to tickets and going to court.","TR-00-00-00-00",,"NSMI v1 Taxonomy [2240200], NSMI v1 Taxonomy [2240299]"
